Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-06-03,2014,6,3,Tuesday,22,2014-22,203.49,208.0,202.59,204.94,3860800,204.94,0.0011724743367962365,201.66000000000014,205.1710000000001
2014-06-04,2014,6,4,Wednesday,22,2014-22,204.35,206.26,200.4,203.99,3427400,203.99,-0.004635488127867071,202.61500000000018,204.84740000000008
2014-06-05,2014,6,5,Thursday,22,2014-22,204.47,209.2,204.05,206.9,4054600,206.9,0.014265347933518413,203.9228571428573,204.57660000000007
2014-06-06,2014,6,6,Friday,22,2014-22,209.75,210.81,207.18,208.17,3073800,208.17,0.006138251860444033,205.1092857142859,204.4808000000001
2014-06-09,2014,6,9,Monday,23,2014-23,207.95,209.99,204.2,205.31,2805700,205.31,-0.013738774249450025,205.7678571428573,204.44060000000007
2014-06-10,2014,6,10,Tuesday,23,2014-23,204.43,206.97,201.55,202.3,3514700,202.3,-0.014660730323066251,206.2678571428573,204.23920000000007
2014-06-11,2014,6,11,Wednesday,23,2014-23,201.5,205.0,199.25,204.47,3977500,204.47,0.010726634385616496,206.62642857142873,204.15960000000004
2014-06-12,2014,6,12,Thursday,23,2014-23,205.1,209.88,202.71,203.52,5993700,203.52,-0.004646143407691206,206.52928571428586,203.89060000000006
2014-06-13,2014,6,13,Friday,23,2014-23,204.78,206.79,201.58,206.42,3544300,206.42,0.014249183547588862,206.4664285714287,203.41320000000005
2014-06-16,2014,6,16,Monday,24,2014-24,206.76,225.49,206.26,224.61,13246400,224.61,0.08812131868404816,207.39857142857159,203.39740000000006
2014-06-17,2014,6,17,Tuesday,24,2014-24,224.11,235.54,222.85,231.67,13304900,231.67,0.03143224940745748,208.92928571428587,203.78620000000006
2014-06-18,2014,6,18,Wednesday,24,2014-24,231.5,231.71,226.12,227.12,6940200,227.12,-0.019640018507876555,210.13500000000016,204.17820000000006
2014-06-19,2014,6,19,Thursday,24,2014-24,228.88,235.31,227.0,227.79,8793100,227.79,0.0029499743895275987,211.56500000000014,204.42480000000012
2014-06-20,2014,6,20,Friday,24,2014-24,228.52,231.29,226.2,229.59,4903900,229.59,0.007902028643974601,213.34285714285733,204.6780000000001
2014-06-23,2014,6,23,Monday,25,2014-25,229.51,238.99,228.22,237.22,7791100,237.22,0.033233176551748844,215.64857142857159,205.33860000000007
2014-06-24,2014,6,24,Tuesday,25,2014-25,238.97,241.88,231.63,232.5,8075900,232.5,-0.01989714693708211,217.68500000000014,205.91300000000007
2014-06-25,2014,6,25,Wednesday,25,2014-25,233.05,237.55,230.24,236.89,5801600,236.89,0.018881717804939413,219.82714285714297,206.68900000000005
2014-06-26,2014,6,26,Thursday,25,2014-25,237.17,240.4,234.21,235.6,5121400,235.6,-0.005445537124642241,221.78642857142867,207.52280000000007
2014-06-27,2014,6,27,Friday,25,2014-25,234.69,240.0,234.5,239.06,5635000,239.06,0.014685871669960493,224.19714285714298,208.32180000000005
2014-06-30,2014,6,30,Monday,26,2014-26,239.55,244.49,239.0,240.06,4828600,240.06,0.004183050322983828,226.89428571428581,209.16060000000002
2014-07-01,2014,7,1,Tuesday,26,2014-26,242.46,243.44,238.7,239.72,4336100,239.72,-0.0014162973479479035,229.41214285714295,209.8674
2014-07-02,2014,7,2,Wednesday,26,2014-26,240.66,242.33,227.07,229.43,8027400,229.43,-0.042925114685979704,231.26285714285723,210.08320000000003
2014-07-03,2014,7,3,Thursday,26,2014-26,231.29,231.9,224.0,229.25,5166700,229.25,-0.0007845211242089034,232.8935714285715,210.50840000000005
2014-07-07,2014,7,7,Monday,27,2014-27,227.5,229.78,220.4,222.66,5893700,222.66,-0.028745894603666833,232.75428571428577,210.80440000000002
2014-07-08,2014,7,8,Tuesday,27,2014-27,218.65,220.96,214.27,219.07,7836200,219.07,-0.016123220510399827,231.8542857142858,211.18880000000001
2014-07-09,2014,7,9,Wednesday,27,2014-27,221.27,224.22,219.21,223.06,4115400,223.06,0.018213311274828614,231.56428571428577,211.6798
2014-07-10,2014,7,10,Thursday,27,2014-27,217.18,222.22,216.04,219.46,4863900,219.46,-0.016139114516850572,230.9692857142858,211.93059999999997
2014-07-11,2014,7,11,Friday,27,2014-27,220.61,221.6,217.6,218.13,3302300,218.13,-0.0060603380587186395,230.15071428571437,212.13539999999998
2014-07-14,2014,7,14,Monday,28,2014-28,219.99,228.79,215.45,226.7,7203200,226.7,0.03928846042997991,229.39928571428578,212.5148
2014-07-15,2014,7,15,Tuesday,28,2014-28,226.73,227.65,218.1,219.58,5718500,219.58,-0.03140712489207953,228.47642857142864,212.6882
2014-07-16,2014,7,16,Wednesday,28,2014-28,221.82,224.8,216.82,217.16,4044500,217.16,-0.011021031736793918,227.06714285714293,212.6992
2014-07-17,2014,7,17,Thursday,28,2014-28,216.16,220.55,213.6,215.4,4649400,215.4,-0.008104668152260186,225.6242857142858,212.86159999999995
2014-07-18,2014,7,18,Friday,28,2014-28,215.95,221.21,215.93,220.02,4253700,220.02,0.021448516745069313,224.2642857142858,213.23499999999996
