,index,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Profit/Loss,Account Balance
199,1206,2018-10-16,2018,10,16,Tuesday,41,2018-41,265.7,277.38,262.24,276.59,9526400,276.59,0.06548788566517905,274.2871428571431,301.15860000000026,10.180266376792037,165.63293175739156
200,1207,2018-10-17,2018,10,17,Wednesday,41,2018-41,282.4,282.7,265.8,271.78,8655500,271.78,-0.017390352587870583,271.734285714286,299.00280000000026,-2.880415083423746,162.75251667396782
201,1208,2018-10-18,2018,10,18,Thursday,41,2018-41,269.29,271.0,263.0,263.91,5421200,263.91,-0.028957226994391294,271.67285714285737,296.87420000000026,-4.71286156923654,158.03965510473128
202,1209,2018-10-19,2018,10,19,Friday,41,2018-41,267.39,269.66,253.5,260.0,9375500,260.0,-0.014815670523484425,268.0514285714288,295.02520000000027,-2.3414634596768122,155.69819164505446
203,1210,2018-10-22,2018,10,22,Monday,42,2018-42,260.68,261.86,252.59,260.95,5600300,260.95,0.0036538931039662437,265.1892857142859,293.13440000000026,0.5689045487518791,156.26709619380634
204,1211,2018-10-23,2018,10,23,Tuesday,42,2018-42,263.87,297.93,262.1,294.14,19027800,294.14,0.12718912009505526,265.14214285714297,291.8890000000003,19.875474464699586,176.14257065850592
205,1212,2018-10-24,2018,10,24,Wednesday,42,2018-42,301.05,304.44,285.73,288.5,20058300,288.5,-0.019174591580742858,265.6185714285716,290.7062000000003,-3.3774618523589917,172.7651088061469
206,1213,2018-10-25,2018,10,25,Thursday,42,2018-42,317.22,321.0,301.01,314.86,20840700,314.86,0.09136910000541598,269.39785714285733,290.2296000000003,15.78539250395541,188.55050131010233
207,1214,2018-10-26,2018,10,26,Friday,42,2018-42,308.25,339.9,306.65,330.9,27425500,330.9,0.050943305885668984,275.1364285714288,290.1386000000003,9.605385863136773,198.1558871732391
208,1215,2018-10-29,2018,10,29,Monday,43,2018-43,337.47,347.16,326.5,334.85,14486000,334.85,0.01193717824082796,280.2828571428573,290.72560000000027,2.36542214465635,200.52130931789546
